product_name,code_country,pnns_groups_1,pnns_groups_2,nutrition-score-uk_100g,nutrition-score-fr_100g,sodium_100g,salt_100g,proteins_100g,energy_100g,saturated-fat_100g,sugars_100g,fat_100g,carbohydrates_100g
"Orange, 100 % Pur Fruit Pressé",FRA,Beverages,Fruit juices,-4.0,2.0,0.0118110236220472,0.03,0.7,175.0,0.0,8.7,0.5,9.4
"Pur Jus d'Orange (Oranges du Brésil, Sans Pulpe)",FRA,Beverages,Fruit juices,-4.0,2.0,0.0118110236220472,0.03,0.7,175.0,0.0,8.7,0.5,9.4
"Gorgonzola AOP (27,4 % MG) - 150 g -Carrefour",ITA,Milk and dairy products,Cheese,20.0,15.0,0.59,1.4986,19.1,1349.0,18.8,0.1,27.4,0.64
Sirop menthe,FRA,Beverages,Sweetened beverages,14.0,20.0,0.0,0.0,0.6,1343.0,0.1,63.0,1.0,76.0
Coquillettes (Al dente 8 mn),ITA,Cereals and potatoes,Cereals,-4.0,-4.0,0.0,0.0,12.0,1501.0,0.2,1.4,1.5,73.0
Fusilli (Al dente 12 mn),ITA,Cereals and potatoes,Cereals,-4.0,-4.0,0.0,0.0,12.0,1501.0,0.2,1.4,1.5,73.0
Spaghetti (Al dente 8 mn),ITA,Cereals and potatoes,Cereals,-4.0,-4.0,0.0,0.0,12.0,1501.0,0.2,1.4,1.5,73.0
Macaroni (Al dente 6 mn),ITA,Cereals and potatoes,Cereals,-4.0,-4.0,0.0,0.0,12.0,1501.0,0.2,1.4,1.5,73.0
Huile de tournesol,BEL,Fat and sauces,Fats,20.0,11.0,0.0,0.0,0.0,3404.0,11.0,0.0,92.0,0.0
Cranberry,FRA,Beverages,Sweetened beverages,2.0,15.0,0.0,0.0,0.0,207.0,0.0,11.5,0.0,12.0
Petits pains grillés au blé complet ,FRA,Cereals and potatoes,Bread,7.0,7.0,0.62992125984252,1.6,11.0,1652.0,2.6,4.5,6.8,68.0
100 Biscottes,FRA,Cereals and potatoes,Bread,6.0,6.0,0.5,1.27,12.0,1623.0,2.0,7.8,4.4,71.0
Biscuits tablette chocolat au lait,FRA,Sugary snacks,Biscuits and cakes,23.0,23.0,0.19,0.4826,6.3,2047.0,13.0,38.0,22.0,65.0
Biscuits tablette chocolat noir ,FRA,Sugary snacks,Biscuits and cakes,20.0,20.0,0.200787401574803,0.51,6.2,2049.0,13.5,35.3,23.2,62.0
Fourrés goût vanille,NLD,Sugary snacks,Biscuits and cakes,22.0,22.0,0.18897637795275601,0.48,4.7,1935.0,8.5,37.0,15.0,76.0
