product_name,code_country,pnns_groups_1,pnns_groups_2,nutrition-score-uk_100g,nutrition-score-fr_100g,sodium_100g,salt_100g,proteins_100g,energy_100g,saturated-fat_100g,sugars_100g,fat_100g,carbohydrates_100g
30 Panach' Fruits,FRA,Sugary snacks,Biscuits and cakes,13.0,13.0,0.248031496062992,0.63,5.0,1724.0,2.0,31.0,18.0,57.0
Marks & Spencer Curiously Strong Mints,GBR,Beverages,Sweetened beverages,14.0,20.0,0.0,0.0,0.9,1665.0,0.5,96.0,0.5,96.0
All Buter Belgian White Chocolate Chunk Cookies,GBR,Sugary snacks,Biscuits and cakes,26.0,26.0,0.393700787401575,1.0,5.5,2172.0,17.0,33.5,29.1,58.4
Honey roast ham,GBR,Fish Meat Eggs,Processed meat,4.0,4.0,0.78740157480315,2.0,24.5,564.0,0.7,2.9,2.0,4.3
Pur Soup' Velouté de légumes,FRA,Fruits and vegetables,Soups,2.0,2.0,0.295275590551181,0.75,0.8,188.0,0.7,2.4,2.1,5.3
Pulled Pork & Chorizo Feijoada,GBR,Composite foods,One-dish meals,-4.0,-4.0,0.248031496062992,0.63,10.0,622.0,2.0,0.5,4.4,16.0
Reduced fat belgian chocolate chunk cookies,GBR,Sugary snacks,Biscuits and cakes,24.0,24.0,0.318897637795276,0.81,5.1,1928.0,10.1,44.4,17.7,68.5
Chocolate chunk cookies,USA,Sugary snacks,Biscuits and cakes,21.0,21.0,0.315,0.8001,5.1,2269.0,12.8,34.0,32.4,57.8
Chocolate Chunk Dark Double Chocolate Crispy Cookies,USA,Sugary snacks,Biscuits and cakes,21.0,21.0,0.31496062992126,0.8,3.8,2131.0,13.9,34.8,25.3,66.5
Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies,USA,Sugary snacks,Biscuits and cakes,21.0,21.0,0.275590551181102,0.7,4.9,2230.0,14.3,32.6,30.4,60.1
Chocolate Chunk White Chocolate Macadamia Crispy Cookies,USA,Sugary snacks,Biscuits and cakes,20.0,20.0,0.31496062992126,0.8,5.0,2238.0,13.9,30.4,31.3,58.7
Pistaches XXL Poivre & Sel,DEU,Salty snacks,Nuts,23.0,23.0,0.9842519685039369,2.5,21.4,2444.0,5.6,7.8,46.0,17.4
Extrait de noix de coco,THA,unknown,unknown,12.0,12.0,0.0157,0.039878,2.06,916.0,20.8,0.0,22.5,2.85
Lait de coco,THA,Beverages,Non-sugared beverages,12.0,12.0,0.0196850393700787,0.05,1.6,746.0,17.0,2.0,19.0,2.0
Hand Cooked Potato Chips,GBR,Salty snacks,Appetizers,13.0,13.0,0.9566929133858271,2.43,5.2,2126.0,2.1,2.8,26.8,59.8
Hand Cooked Potato Chips Mature Cheddar & Caramelized Onion,GBR,Salty snacks,Appetizers,8.0,8.0,0.512,1.3004799999999999,6.1,2095.0,2.1,4.5,26.6,57.1
Crème de Marrons de l'Ardèche,FRA,unknown,unknown,11.0,11.0,0.00393700787401575,0.01,1.3,1147.0,0.2,50.2,0.8,63.6
Purée Tradition Bio,ITA,Fat and sauces,Dressings and sauces,-1.0,-1.0,0.393700787401575,1.0,1.19,126.0,0.0,5.6,0.1,5.6
Tomates jaunes entières pelées au jus,ITA,Fruits and vegetables,Vegetables,-6.0,-6.0,0.0393700787401575,0.1,1.2,88.0,0.0,0.0,0.5,3.0
Tomates pelées au jus - BIO,ITA,Fruits and vegetables,Vegetables,-6.0,-6.0,0.0393700787401575,0.1,1.2,21.0,0.0,3.1,0.1,3.4
Pain Soft White Farmhouse,GBR,Cereals and potatoes,Bread,-2.0,-2.0,0.295275590551181,0.75,9.2,1080.0,1.3,3.4,4.0,44.0
Gaufrettes fines,BEL,Sugary snacks,Biscuits and cakes,23.0,23.0,0.20472440944881898,0.52,6.1,2056.0,13.0,36.0,21.0,69.0
Peanut butter cups,USA,Sugary snacks,Chocolate products,29.0,29.0,0.3,0.762,10.2,2299.0,11.9,50.2,31.2,53.5
Pure Butter Chocolate Chip Shortbread,GBR,Sugary snacks,Biscuits and cakes,22.0,22.0,0.275590551181102,0.7,5.2,2168.0,17.2,25.7,27.6,61.3
Classic Yellow Mustard,USA,Fat and sauces,Dressings and sauces,5.0,5.0,1.1,2.7939999999999996,4.2,290.6,0.8,0.9,3.9,4.3
Soupe rustique aux légumes à l'italienne,USA,Composite foods,One-dish meals,-5.0,-5.0,0.3,0.762,2.0,264.0,0.4,1.6,2.9,7.3
"4 Steaks aux légumes, au quinoa et aux noix",USA,Composite foods,One-dish meals,3.0,3.0,0.6,1.524,3.8,510.0,0.0,2.8,4.2,18.0
6 scones aux raisins de Smyrne,GBR,Sugary snacks,Biscuits and cakes,17.0,17.0,0.531496062992126,1.35,6.7,1472.0,6.8,20.5,10.9,55.3
Riz gluant fermenté,TWN,Cereals and potatoes,Cereals,5.0,5.0,0.00656,0.0167,3.33,640.0,0.0,28.3,0.0,35.0
Weetabix original,GBR,Cereals and potatoes,Cereals,-4.0,-4.0,0.255905511811024,0.65,11.5,1498.0,0.6,4.4,2.0,68.6
Chocolat au lait aux noisettes entières,FRA,Sugary snacks,Chocolate products,21.0,21.0,0.075,0.191,10.0,2400.0,15.0,42.5,40.0,45.0
Marshmallow Fluff,USA,Sugary snacks,Sweets,14.0,14.0,0.0,0.0,1.0,1382.0,0.0,49.0,0.0,81.0
Marshmallow Fluff Fraise,USA,Sugary snacks,Sweets,14.0,14.0,0.0,0.0,1.0,1382.0,0.0,49.0,0.0,81.0
Pressed British Apple & Pear Juice,GBR,unknown,unknown,2.0,2.0,0.00394,0.0100076,0.2,195.0,0.1,10.4,0.1,10.4
Tomato & Mascarpone Pasta Sauce,ITA,Fat and sauces,Dressings and sauces,4.0,4.0,0.374015748031496,0.95,2.0,400.0,2.0,4.8,7.2,4.9
Fiorelli,ITA,Cereals and potatoes,Cereals,-5.0,-5.0,0.0393700787401575,0.1,12.3,1500.0,0.3,1.6,1.4,71.5
chicken & vegetable chow mein,GBR,Composite foods,One-dish meals,-3.0,-3.0,0.18897637795275601,0.48,6.3,320.0,0.2,1.4,1.3,8.7
Smokey Cajun chicken Jambalaya,GBR,Composite foods,One-dish meals,-3.0,-3.0,0.14960629921259802,0.38,5.9,386.0,0.2,2.0,1.0,13.9
Bertie Bottes Beans,USA,Sugary snacks,Sweets,14.0,14.0,0.0393700787401575,0.1,0.1,1570.0,0.1,70.4,0.1,92.0
Cookies Milk & Hazelnut Chunk Sensations,GBR,Sugary snacks,Biscuits and cakes,24.0,24.0,0.31496062992126,0.8,6.5,2228.0,14.0,33.8,30.7,57.3
Lait de Coco,MYS,Beverages,Non-sugared beverages,11.0,11.0,0.0236,0.059944000000000004,2.1,882.0,19.0,2.7,21.0,3.7
Cream Crackers,PRT,Salty snacks,Appetizers,12.0,12.0,0.433070866141732,1.1,9.5,1850.0,7.9,1.1,14.8,67.0
Custard creams,GBR,Sugary snacks,Biscuits and cakes,21.0,21.0,0.17716535433070899,0.45000000000000107,5.0,2037.0,12.4,28.4,20.8,68.6
Noodle Soup,KOR,Cereals and potatoes,Cereals,20.0,20.0,1.6,4.064,8.3,1756.0,6.7,2.5,13.3,65.0
All natural Yellow Mustard,USA,Fat and sauces,Dressings and sauces,8.0,8.0,1.5551181102362202,3.95,3.7,313.0,0.2,0.1,4.2,5.6
Noix de cajou grillées au miel,GBR,Salty snacks,Nuts,16.0,16.0,0.25,0.635,18.9,2530.0,10.0,15.2,45.1,28.8
Chocolate Chip Cookies,DNK,Sugary snacks,Biscuits and cakes,20.0,20.0,0.000333,0.0008470000000000001,6.06,2030.0,13.6,36.4,24.2,63.6
Pretzel pieces,USA,unknown,unknown,23.0,23.0,1.3385826771653502,3.4,7.6,2048.0,11.0,0.07,24.5,58.6
filets de cabillaud légèrement panés de farine assaisonnée,GBR,Composite foods,One-dish meals,-2.0,-2.0,0.34,0.8636,12.2,585.0,0.5,1.5,6.2,8.2
New Zealand Clover Honey,GBR,Sugary snacks,Sweets,14.0,14.0,0.0394,0.100076,0.1,1393.0,0.2,80.8,0.2,81.5
Pointes de bambou,THA,unknown,unknown,-4.0,-4.0,0.118110236220472,0.3,2.0,82.0,0.0,0.0,0.2,1.0
Frozen Fresh Durian,THA,Fruits and vegetables,Fruits,-6.0,-6.0,0.0,0.0,2.14,687.0,0.0,0.0,3.21,31.4
Jus de coco congelé,THA,Beverages,Fruit juices,-3.0,4.0,0.078740157480315,0.2,0.3,201.0,0.5,10.0,0.7,10.0
Chicken Tikka Mini Fillets,GBR,Fish Meat Eggs,Meat,1.0,1.0,0.523622047244094,1.33,27.2,602.0,0.5,1.1,2.9,1.9
"Boeuf Aberdeen Angus, Chutney d'oignon rouge et moutarde",GBR,unknown,unknown,-3.0,-3.0,0.275590551181102,0.7,11.0,665.0,1.0,2.6,3.8,19.0
Jarritos Tamarind,MEX,Beverages,Sweetened beverages,2.0,13.0,0.0187,0.0476,0.0,157.0,0.0,9.17,0.0,9.17
Le Bâtonnet Moelleux (10 Bâtonnets),FRA,Fish Meat Eggs,Fish and seafood,4.0,4.0,0.708661417322835,1.8,8.0,481.0,0.4,3.0,4.5,10.5
spiced British apple juice,GBR,Beverages,Fruit juices,-3.0,4.0,0.0393700787401575,0.1,0.1,190.0,0.1,10.4,0.1,10.4
Petites galettes pépites de chocolat ,FRA,Sugary snacks,Biscuits and cakes,20.0,20.0,0.299212598425197,0.76,7.5,2042.0,11.0,27.0,18.0,72.0
Bisque de Homard,FRA,Composite foods,One-dish meals,1.0,1.0,0.22834645669291298,0.58,3.1,181.0,0.7,0.7,2.1,3.0
La Choucroute du temps retrouvé,FRA,Composite foods,One-dish meals,2.0,2.0,0.512,1.3004799999999999,6.8,568.0,3.9,0.0,11.0,1.6
Dinde farcie,FRA,Composite foods,One-dish meals,3.0,3.0,0.216535433070866,0.55,18.9,755.0,5.7,2.9,10.1,3.0
Jambon cru de Pays,FRA,Fish Meat Eggs,Processed meat,20.0,20.0,2.16535433070866,5.5,25.0,1151.0,7.6,1.0,19.0,1.0
Emmental au lait cru,FRA,Milk and dairy products,Cheese,15.0,10.0,0.15748031496063,0.4,27.5,1632.0,20.5,0.5,31.0,1.0
Cuisses de Poulet Rôties ,FRA,Composite foods,One-dish meals,5.0,5.0,0.55511811023622,1.41,19.0,741.0,3.0,0.7,11.0,1.1
Reblochon de Savoie au lait cru (25% MG),FRA,Milk and dairy products,Cheese,19.0,14.0,0.551181102362205,1.4,18.0,1238.0,20.0,0.0,25.0,0.0
Jambon fumé supérieur,FRA,Fish Meat Eggs,Processed meat,12.0,12.0,0.905511811023622,2.3,20.1,479.0,1.29,0.6,3.7,0.6
Boule bio Campanière,FRA,Cereals and potatoes,Bread,5.0,5.0,0.590551181102362,1.5,7.4,1013.0,0.1,2.0,0.8,48.9
Pain complet bio Campanière,FRA,Cereals and potatoes,Bread,3.0,3.0,0.551181102362205,1.4,8.5,979.0,0.2,2.6,1.3,43.3
Saucisse de volaille,FRA,Fish Meat Eggs,Processed meat,3.0,3.0,0.590551181102362,1.5,17.4,847.0,0.3,1.0,14.2,1.5
2 galettes de céréales à la provencale,FRA,Composite foods,One-dish meals,-1.0,-1.0,0.295275590551181,0.75,4.1,521.0,0.3,1.6,2.2,20.5
Comté AOP Bio (34 % MG) ,FRA,Milk and dairy products,Cheese,18.0,13.0,0.5,1.27,27.0,1740.0,23.0,0.5,34.0,0.6
1 Faux-Filet persillé & savoureux,FRA,Fish Meat Eggs,Meat,-1.0,-1.0,0.078740157480315,0.2,22.0,633.0,3.4,0.0,7.0,0.0
1 Bifteck,FRA,Fish Meat Eggs,Meat,-4.0,-4.0,0.078740157480315,0.2,23.0,465.0,0.9,0.0,2.0,0.0
2 pavés ***,FRA,Fish Meat Eggs,Meat,-4.0,-4.0,0.078740157480315,0.2,23.0,465.0,0.9,0.0,2.0,0.0
Gaufrettes aux Framboises,FRA,Sugary snacks,Biscuits and cakes,13.0,13.0,0.14173228346456698,0.36,3.6,1530.0,0.3,38.0,1.1,84.0
100 % pur jus Orange,FRA,Beverages,Fruit juices,-3.0,4.0,0.0118110236220472,0.03,0.3,193.0,0.0,10.0,0.1,10.8
French's Smooth & Spicy,USA,Fat and sauces,Dressings and sauces,6.0,6.0,1.6,4.064,5.2,435.0,0.5,1.3,6.5,6.3
Craquelins au son d'avoine,GBR,unknown,unknown,16.0,16.0,0.857,2.18,9.52,1800.0,7.14,0.0,19.0,52.4
Pomegranate Green Tea,NLD,Beverages,Sweetened beverages,1.0,11.0,0.00393700787401575,0.01,0.02,129.0,0.0,8.7,0.0,9.0
Mucho mango,NLD,Beverages,Sweetened beverages,1.0,11.0,0.00393700787401575,0.01,0.01,143.0,0.0,8.6,0.0,8.9
Seva Eau d'érable,CAN,unknown,unknown,0.0,0.0,0.018000000000000002,0.0457,0.0,33.6,0.0,2.0,0.0,2.0
Wholemeal pittas enriched with extra virgin olive oil,GBR,Cereals and potatoes,Bread,-7.0,-7.0,0.0,0.0,10.0,1075.0,0.7,4.4,2.6,45.0
Th Dundee orange marmalade,GBR,Sugary snacks,Sweets,13.0,13.0,0.0,0.0,0.3,1145.0,0.0,66.7,0.0,67.0
Homard américain cuit,CAN,unknown,unknown,1.0,1.0,0.47244094488189003,1.2,20.5,410.0,0.1,0.0,0.6,1.3
Choc Chunk Shortbread,GBR,Sugary snacks,Biscuits and cakes,22.0,22.0,0.3,0.762,6.4,2231.0,19.1,25.3,30.1,58.4
Homard américain cuit congelé dans l'eau salé,CAN,Fish Meat Eggs,Fish and seafood,1.0,1.0,0.47244094488189003,1.2,20.5,410.0,0.1,0.0,0.6,1.3
Sea Salt & Balsamic Vinegar hand cooked Crisps,GBR,Salty snacks,Appetizers,12.0,12.0,0.720472440944882,1.83,6.7,2173.0,3.2,1.9,30.4,52.8
Carambar Mystery,FRA,Sugary snacks,Sweets,18.0,18.0,0.0196850393700787,0.05,0.7,1665.0,4.9,57.5,5.2,85.0
Choco Stix,NLD,Sugary snacks,Biscuits and cakes,22.0,22.0,0.25,0.635,6.67,2090.0,13.3,36.7,23.3,63.3
Tortina White,ITA,unknown,unknown,26.0,26.0,0.11417322834645698,0.29,8.9,2343.0,20.0,45.0,35.0,51.0
Bonne nuit,GBR,Beverages,Non-sugared beverages,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
Plantain Chips Pacific sea salt,ECU,Salty snacks,Appetizers,16.0,16.0,0.393700787401575,1.0,1.0,2239.0,14.3,7.1,32.1,60.7
Barre de Chocolat aux Amandes NewTree,BEL,Sugary snacks,Chocolate products,16.0,16.0,0.05,0.127,10.0,2020.0,20.0,26.7,40.0,30.0
Noisettes Grillées Noir,FRA,Sugary snacks,Chocolate products,25.0,25.0,0.0031496062992126,0.008,6.6,2356.0,20.1,37.0,41.4,39.3
Aeroshot chocolate,USA,unknown,unknown,14.0,14.0,0.35100000000000003,0.89154,10.0,1281.0,5.0,43.0,8.0,53.0
Lemon Puff,PRT,Sugary snacks,Biscuits and cakes,12.0,12.0,0.433070866141732,1.1,9.5,1850.0,7.9,1.1,14.8,67.0
Pasta-Älgar ,DEU,Cereals and potatoes,Cereals,-1.0,-1.0,0.0,0.0,12.0,1500.0,0.5,3.0,1.5,72.0
Cider Päron,SWE,Beverages,Sweetened beverages,2.0,13.0,0.00393700787401575,0.01,0.0,171.0,0.0,9.9,0.0,9.9
Mesclun (5/6 portions),FRA,Fruits and vegetables,Vegetables,-8.0,-8.0,0.068503937007874,0.174,2.2,75.0,0.11,0.18,0.5,0.5
Chips salées,SWE,Salty snacks,Appetizers,13.0,13.0,0.5118110236220471,1.3,8.3,2092.0,2.5,0.8,27.0,56.0
Yaourts nature,FRA,Milk and dairy products,Milk and yogurt,-2.0,-2.0,0.0393700787401575,0.1,4.0,178.0,0.6,4.3,1.0,4.3
"Les Crozets, Génépi",FRA,Cereals and potatoes,Cereals,-4.0,-4.0,0.040999999999999995,0.10414000000000001,13.0,1550.0,0.8,2.8,2.7,71.0
"L'Original Tartare, Ail & Fines Herbes (12 Portions) - (32,2 % MG)",FRA,Milk and dairy products,Cheese,18.0,13.0,0.39399999999999996,1.0,9.33,1400.0,22.0,3.33,32.0,3.33
Godis Julkola,SWE,Sugary snacks,Sweets,22.0,22.0,0.216535433070866,0.55,3.4,1800.0,5.5,66.0,9.8,79.0
Pepparkaka,SWE,Sugary snacks,Biscuits and cakes,25.0,25.0,0.47244094488189003,1.2,5.4,1946.0,8.5,33.0,17.0,72.0
sauce pour fajitas,FRA,Fat and sauces,Dressings and sauces,4.0,4.0,0.433070866141732,1.1,0.9,349.0,0.6,2.3,6.1,5.9
Ketchup,SWE,Fat and sauces,Dressings and sauces,15.0,15.0,1.1811023622047199,3.0,1.2,500.0,0.0,21.0,0.5,28.0
Chokladkrokant Bredbar,BEL,Sugary snacks,Sweets,24.0,24.0,0.078740157480315,0.2,2.8,2300.0,8.3,59.0,33.0,61.0
Dryck Julmust,DEU,Beverages,Sweetened beverages,2.0,13.0,0.0,0.0,0.0,162.0,0.0,9.3,0.0,9.3
Skorpor kardemumma,SWE,Cereals and potatoes,Bread,12.0,12.0,0.295275590551181,0.75,10.0,1684.0,3.1,8.9,8.4,69.0
Cider Äpple,SWE,Beverages,Sweetened beverages,2.0,13.0,0.00393700787401575,0.01,0.0,171.0,0.0,9.9,0.0,9.9
Ekologisk Sas Tomat,ITA,Fat and sauces,Dressings and sauces,4.0,4.0,0.327,0.8305799999999999,1.5,310.0,0.3,5.5,3.5,8.5
Pommes Frites Sauce,DEU,Fat and sauces,Dressings and sauces,11.0,11.0,0.78740157480315,2.0,0.5,791.0,1.0,7.8,15.0,11.8
palmier pur beurre,CHE,Sugary snacks,Biscuits and cakes,22.0,22.0,0.42,1.0668,8.1,2004.0,12.3,22.8,19.3,67.5
Coca Cola,FRA,Beverages,Sweetened beverages,2.0,14.0,0.0,0.0,0.0,180.0,0.0,10.6,0.0,10.6
Bifidus brassé aux fruits,AUT,Milk and dairy products,Milk and yogurt,3.0,3.0,0.05,0.127,4.1,429.0,2.0,14.2,2.9,14.7
Big Mac,FRA,Composite foods,Sandwich,4.0,4.0,0.393700787401575,1.0,12.0,964.0,4.5,3.9,12.0,19.0
Croque McDo,FRA,Composite foods,Sandwich,14.0,14.0,0.787,2.0,14.7,1140.0,6.0,5.47,10.4,28.4
"Lait demi-écrémé (1,2 % MG)",FRA,Milk and dairy products,Milk and yogurt,0.0,0.0,0.045,0.1143,3.2,192.0,1.0,4.8,1.5,4.8
"Matin léger, Facile à Digérer (1,2 % MG)",FRA,Milk and dairy products,Milk and yogurt,0.0,0.0,0.04,0.1016,3.2,180.0,0.8,4.8,1.2,4.8
Le Lait Entier,FRA,Milk and dairy products,Milk and yogurt,2.0,2.0,0.04,0.1016,3.2,269.0,2.2,4.8,3.6,4.8
Lait stérilisé UHT demi-écrémé ,FRA,Milk and dairy products,Milk and yogurt,0.0,0.0,0.045,0.1143,3.2,192.0,1.0,4.8,1.5,4.8
Lait Entier ,FRA,Milk and dairy products,Milk and yogurt,2.0,2.0,0.045,0.1143,3.2,269.0,2.2,4.8,3.6,4.8
"Mini Yop, Goût Fraise",FRA,Milk and dairy products,Milk and yogurt,2.0,2.0,0.11,0.2794,2.8,324.0,0.9,12.0,1.3,12.4
Suprême Chicken Bacon,FRA,Composite foods,Sandwich,5.0,5.0,0.565,1.43,12.1,993.0,2.09,3.49,10.1,23.7
Cheeseburger,FRA,Composite foods,Sandwich,13.0,13.0,0.5579999999999999,1.42,13.3,1060.0,5.08,6.08,10.8,25.0
Hamburger,FRA,Composite foods,Sandwich,10.0,10.0,0.48700000000000004,1.24,12.4,1020.0,3.33,6.29,8.38,28.6
Royal Bacon,FRA,Composite foods,Sandwich,11.0,11.0,0.318897637795276,0.81,17.0,1071.0,6.1,4.1,13.0,17.0
P'tit Wrap Ranch,FRA,Composite foods,Sandwich,11.0,11.0,0.763,1.94,10.7,1020.0,2.29,2.29,12.2,22.1
P'tite Salade,FRA,Fruits and vegetables,Vegetables,-8.0,-8.0,0.078740157480315,0.2,2.0,126.0,0.0,2.0,0.0,4.0
Frites Moyenne,FRA,unknown,unknown,-1.0,-1.0,0.19,0.48200000000000004,3.42,1250.0,1.32,0.35100000000000003,14.9,36.8
Cheeseburger,FRA,Composite foods,Sandwich,11.0,11.0,0.293,0.7440000000000001,13.3,1030.0,4.79,6.45,10.8,23.1
Sandwich au Thon (Recette Bretonne) [même code barre 26015958 que Sandwich au Thon (Recette Méditerranéenne)],FRA,unknown,unknown,2.0,2.0,0.5,1.27,11.0,836.0,0.3,1.5,16.0,3.0
"Chorizo Supérieur Fort [même code barre 26013077 que Chorizo Supérieur Doux, voir 26013077]",FRA,Fish Meat Eggs,Processed meat,25.0,25.0,1.7716535433070901,4.5,21.5,1890.0,14.3,3.5,38.5,4.9
Taboulé à l'orientale (même code barre que 26022291),FRA,Composite foods,One-dish meals,-1.0,-1.0,0.02,0.0508,4.9,806.0,0.5,3.6,7.8,25.0
La Pizza Chorizo,FRA,Composite foods,Pizza pies and quiche,11.0,11.0,0.539,1.36906,9.6,998.0,4.7,2.6,9.8,27.0
Jambon cuit Supérieur fumé Découenné Dégraissé (même code barre que 26067810),FRA,Fish Meat Eggs,Processed meat,4.0,4.0,0.708,1.7983200000000001,20.0,468.0,1.4,0.7,3.0,1.0
Beurre Doux Origine Bretagne (82 % MG) - [même code barre que 3270190020288],FRA,Fat and sauces,Fats,19.0,19.0,0.01,0.0254,0.7,3054.0,57.0,0.5,82.0,0.5
"Tartinable de la Mer, Surimi [même code barre 26017518 pour Tartinable de la Mer, Thon (voir 2000000009746) et Tartinable de la Mer, Saumon fumé (voir 26017518)]",BEL,Composite foods,One-dish meals,13.0,13.0,0.78740157480315,2.0,6.8,1020.0,2.3,3.2,20.8,8.2
"Tartinable de la Mer, Thon [même code barre 26017518 pour Tartinable de la Mer, Surimi (voir 2000000009745) et Tartinable de la Mer, Saumon fumé (voir 26017518)]",BEL,Composite foods,One-dish meals,4.0,4.0,0.393700787401575,1.0,14.6,1050.0,2.3,1.2,19.6,4.8
"Colin d'Alaska à la Provençale, Surgelé (même code barre 26053325 que colin d'Alaska  à la parisienne)",FRA,Composite foods,One-dish meals,-2.0,-2.0,0.28740157480315004,0.73,8.9,238.0,0.2,2.2,0.8,3.0
Semoule au lait saveur Vanille,FRA,Milk and dairy products,Dairy desserts,4.0,4.0,0.04,0.1016,3.4,510.0,2.8,18.0,4.3,19.0
"Colin d'Alaska à la Moutarde, Surgelé",FRA,Composite foods,One-dish meals,2.0,2.0,0.319,0.8102600000000001,9.5,400.0,3.5,0.0,5.5,1.5
Sauce allégée,DEU,Fat and sauces,Dressings and sauces,15.0,15.0,1.1,2.7939999999999996,0.4,1063.0,2.9,4.3,25.3,7.0
Mon Bio à Boire à la paille Fraise-Mûre,FRA,Milk and dairy products,Milk and yogurt,2.0,2.0,0.0393700787401575,0.1,2.9,274.0,1.1,9.3,1.7,9.6
Hachis Parmienter Family,FRA,Composite foods,One-dish meals,3.0,3.0,0.32,0.8128,5.9,547.0,3.2,1.3,6.7,11.0
Filet minute Extra tendre,FRA,Fish Meat Eggs,Meat,0.0,0.0,0.42913385826771705,1.09,21.3,431.0,0.3,0.5,0.9,2.4
cuisine avoine  de chez Isola bio,ITA,unknown,unknown,-1.0,-1.0,0.062992125984252,0.16,1.0,586.0,1.0,3.0,10.0,11.0
Farfalle complètes ,FRA,Cereals and potatoes,Cereals,-6.0,-6.0,0.0078740157480315,0.02,13.0,1533.0,0.4,3.0,2.0,70.0
Grande Frite,FRA,unknown,unknown,-1.0,-1.0,0.18897637795275601,0.48,3.4,1249.0,1.3,0.3,15.0,37.0
St Michel Roudor,FRA,Sugary snacks,Biscuits and cakes,25.0,25.0,0.5118110236220471,1.3,6.0,2146.0,17.0,24.0,27.0,61.0
ciabatta rustica sans gluten,ITA,Cereals and potatoes,Bread,-1.0,-1.0,0.393700787401575,1.0,5.8,1150.0,1.0,3.7,8.1,40.0
farine de souchet,ESP,unknown,unknown,7.0,7.0,0.00393700787401575,0.01,4.58,2355.0,1.29,21.83,24.9,63.6
So Shape Framboise Frappée,FRA,unknown,unknown,12.0,12.0,0.852,2.16,33.5,1440.0,1.33,16.5,8.0,28.2
Cassoulet au confit de canard,FRA,Composite foods,One-dish meals,0.0,0.0,0.34,0.8636,9.6,686.0,3.1,1.8,8.5,11.0
Mon jus de pomme Bio,FRA,Beverages,Fruit juices,-3.0,5.0,0.0,0.0,0.0,201.0,0.0,12.0,0.0,12.0
VRAI LA LAITERIE FAMILIALE,FRA,Milk and dairy products,Milk and yogurt,2.0,2.0,0.0393700787401575,0.1,4.8,361.0,3.9,2.9,5.8,3.8
Mc Chicken,FRA,Composite foods,Sandwich,1.0,1.0,0.384,0.9740000000000001,10.8,953.0,1.18,3.28,9.74,23.1
Boeuf Ranch Moutarde,FRA,Composite foods,Sandwich,3.0,3.0,0.34251968503936997,0.87,13.0,987.0,5.1,3.3,13.0,17.0
Grand Double Cheese,FRA,Composite foods,Sandwich,13.0,13.0,0.5118110236220471,1.3,16.0,1111.0,6.9,4.2,14.0,19.0
Pizza cuite sur pierre Margherita,DEU,Composite foods,Pizza pies and quiche,4.0,4.0,0.39399999999999996,1.0,9.3,881.0,2.1,5.8,4.8,31.5
Poulet Ranch Ketchup,FRA,Composite foods,Sandwich,3.0,3.0,0.47244094488189003,1.2,11.0,936.0,2.1,4.7,9.2,23.0
Mousse au chocolat à l'ancienne,FRA,Sugary snacks,Chocolate products,19.0,19.0,0.133858267716535,0.34,8.5,1463.0,15.9,19.2,25.4,20.5
Nescafé Cappuccino,GBR,Beverages,Sweetened beverages,19.0,25.0,0.337,0.857,9.29,1610.0,7.14,49.3,7.86,67.1
Coquillettes complètes,FRA,unknown,unknown,-6.0,-6.0,0.0393700787401575,0.1,12.6,1481.0,0.3,4.0,1.8,67.5
Chorizo fort U,FRA,unknown,unknown,26.0,26.0,1.49606299212598,3.8,20.0,2054.0,18.0,2.0,45.0,2.9
L'Ananas à croquer,FRA,Fruits and vegetables,Fruits,-5.0,-5.0,0.0,0.0,0.5,202.0,0.0,10.0,0.2,10.0
California & Chicken,FRA,Composite foods,Sandwich,9.0,9.0,0.47244094488189003,1.2,11.0,1041.0,3.1,3.0,12.0,22.0
Twister Fries (moyenne portion),FRA,unknown,unknown,9.0,9.0,0.78740157480315,2.0,3.7,1111.0,1.2,2.0,14.0,31.0
Le P'tit Tex Mex,FRA,Composite foods,Sandwich,3.0,3.0,0.381,0.9690000000000001,7.26,962.0,3.23,3.23,10.5,25.8
"Saumon atlantique sauce à l'émincé de légumes, Surgelé (même code barre 26048321 que Saumon Atlantique sauce crevettes",BEL,Composite foods,One-dish meals,0.0,0.0,0.17716535433070899,0.45,10.9,436.0,3.1,1.0,5.9,1.3
Tropical Vitaminé,FRA,Beverages,Non-sugared beverages,1.0,12.0,0.00984251968503937,0.025,0.1,153.0,0.0,7.9,0.1,8.8
Poêlée gourmande Family tartiflette,FRA,unknown,unknown,2.0,2.0,0.22834645669291298,0.58,4.0,581.0,3.6,1.9,7.1,14.0
Berlingo Pomme,ITA,Fruits and vegetables,Fruits,-4.0,-4.0,0.0,0.0,0.3,244.0,0.0,13.0,0.1,13.5
Rondelé Ail de Garonne & Fines herbes (30% MG),FRA,Milk and dairy products,Cheese,17.0,14.0,0.433070866141732,1.1,6.0,1253.0,21.0,2.4,30.0,2.4
Jus d'orange,FRA,Beverages,Fruit juices,-4.0,2.0,0.0,0.0,0.7,179.0,0.0,8.6,0.0,8.6
CBO,FRA,Composite foods,Sandwich,9.0,9.0,0.47100000000000003,1.2,10.8,1080.0,3.03,2.83,13.5,22.7
